song_id,title,artist,found,spotify_id,popularity,duration_ms,explicit,release_date,tempo,danceability,energy,valence,acousticness,speechiness,instrumentalness,liveness,loudness,key,mode,time_signature
CH_12,I Might Need Security,Chance the Rapper,True,3EApebexZ7YqDIqw2EMTDh,48,240640,True,2018-07-19,,,,,,,,,,,,
CW_01,Sleeping on the Blacktop,Colter Wall,True,6fhgO6p9DsTyHqPctyzDkV,75,192480,False,2015-06-02,,,,,,,,,,,,
CW_02,Motorcycle,Colter Wall,True,1z2UyZvguJYmNd47EZP7Qp,63,137706,False,2017-05-12,,,,,,,,,,,,
CW_03,Imaginary Appalachia,Colter Wall,True,6fhgO6p9DsTyHqPctyzDkV,75,192480,False,2015-06-02,,,,,,,,,,,,
CW_04,The Devil Wears a Suit and Tie,Colter Wall,True,43UV5Uk0ntzH6MP8Rx1RKh,71,236026,False,2015-06-02,,,,,,,,,,,,
CW_05,Brands,Colter Wall,True,4pKmkKqR9lBaOBvtPazIGT,53,229800,False,2018-10-12,,,,,,,,,,,,
CW_06,Wild Dogs,Colter Wall,True,38H2ENCTFleUe2CGS2fhR4,43,292466,False,2018-10-12,,,,,,,,,,,,
CW_07,John Beyers,Colter Wall,True,66Ca5hnT9mxshajDCzLcfQ,46,121306,False,2018-10-12,,,,,,,,,,,,
CW_08,Western Swing & Slow Country,Colter Wall,True,0QJKUh0ga2ubfuVs8DM7bq,72,192626,False,2020-08-28,,,,,,,,,,,,
CW_09,Plain to See Plainsman,Colter Wall,True,4pKmkKqR9lBaOBvtPazIGT,53,229800,False,2018-10-12,,,,,,,,,,,,
CW_10,Tying Knots,Colter Wall,True,5qGqAl2TYixQ1JUsJeohl1,42,156920,False,2018-10-12,,,,,,,,,,,,
CW_11,I'm So Lonesome I Could Cry,Colter Wall,True,0QJKUh0ga2ubfuVs8DM7bq,72,192626,False,2020-08-28,,,,,,,,,,,,
CW_12,Song of the Plains,Colter Wall,True,3HOvQ8hExcNftjC1QxgYA9,43,140080,False,2018-10-12,,,,,,,,,,,,
DL_01,Levitating,Dua Lipa,True,39LLxExYz6ewLAcYrzQQyP,82,203807,False,2020-03-27,,,,,,,,,,,,
DL_02,Don't Start Now,Dua Lipa,True,3PfIrDoz19wz7qK7tYeu62,84,183290,False,2020-03-27,,,,,,,,,,,,
DL_03,Physical,Dua Lipa,True,3AzjcOeAmA57TIOr9zF1ZW,79,193829,False,2020-03-27,,,,,,,,,,,,
DL_04,Break My Heart,Dua Lipa,True,017PF4Q3l4DBUiWoXk4OWT,81,221820,False,2020-03-27,,,,,,,,,,,,
DL_05,One Kiss,Dua Lipa,True,7ef4DlsgrMEH11cDZd32M6,82,214846,False,2018-04-06,,,,,,,,,,,,
DL_06,New Rules,Dua Lipa,True,2ekn2ttSfGqwhhate0LSR0,81,209320,False,2017-06-02,,,,,,,,,,,,
DL_07,IDGAF,Dua Lipa,True,76cy1WJvNGJTj78UqeA5zr,77,217946,True,2017-06-02,,,,,,,,,,,,
DL_08,Hallucinate,Dua Lipa,True,1nYeVF5vIBxMxfPoL0SIWg,69,208505,False,2020-03-27,,,,,,,,,,,,
DL_09,Future Nostalgia,Dua Lipa,True,6zrJLhslleCHby0wbUnvVy,58,184881,False,2020-03-27,,,,,,,,,,,,
DL_10,Hotter than Hell,Dua Lipa,True,5eTNdkstwKaNahHf41fJ9u,65,187957,False,2017-06-02,,,,,,,,,,,,
DL_11,Be the One,Dua Lipa,True,7FCfMXYTIiQ9b4hDYs4Iol,75,202914,False,2017-06-02,,,,,,,,,,,,
DL_12,Electricity,Dua Lipa,True,5N4erncE7kuUccm7zEmwzk,69,238173,False,2018-09-06,,,,,,,,,,,,
DL_13,Cold Heart,Dua Lipa,True,6zSpb8dQRaw0M1dK8PBwQz,83,202735,False,2021-08-13,,,,,,,,,,,,
DL_14,Love Again,Dua Lipa,True,4rPkN1FMzQyFNP9cLUGIIB,79,258004,False,2020-03-27,,,,,,,,,,,,
DL_15,Prisoner,Dua Lipa,True,2Oycxb8QbPkpHTo8ZrmG0B,73,169338,False,2020-11-27,,,,,,,,,,,,
DP_01,Get Lucky,Daft Punk,True,69kOkLUCkxIZYexIgSG8rq,77,369626,False,2013-05-20,,,,,,,,,,,,
DP_02,"Harder, Better, Faster, Stronger",Daft Punk,True,5W3cjX2J3tjhG8zb6u0qHn,77,226413,False,2001-03-12,,,,,,,,,,,,
